"","Player","Tm","Pos","G","GS","MP","FG","FGA","FG%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PS/G","PER","TS%","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","fix"
"64","Omri Casspi\casspom01","GSW","SF",53,7,14,2.3,3.9,0.58,0.604,0.9,1.3,0.725,0.6,3.2,3.8,1,0.3,0.4,0.7,1.3,5.7,15.5,0.632,0.333,4.9,24,15.1,9.5,1.2,2,13.5,16.3,1.2,1,2.2,0.14,-1.5,0,-1.4,0.1,"omricasspi"
"65","Willie Cauley-Stein\caulewi01","SAC","C",73,58,28,5.3,10.6,0.502,0.504,2.1,3.4,0.619,1.8,5.2,7,2.4,1.1,0.9,1.5,2.5,12.8,17.6,0.529,0.32,7,22,14.2,13.7,1.9,3.1,11,21.8,1.7,2.2,3.9,0.092,-1.3,1.7,0.4,1.2,"williecauleystein"
"66","Tyler Cavanaugh\cavanty01","ATL","PF",39,1,13.3,1.7,3.9,0.441,0.546,0.4,0.5,0.81,1.2,2.1,3.3,0.7,0.2,0.1,0.4,1.6,4.7,13,0.567,0.138,9.7,17.7,13.7,7.8,0.8,0.7,8,14.8,0.9,0.3,1.2,0.109,0.5,-1.5,-1,0.1,"tylercavanaugh"
"67","Mario Chalmers\chalmma01","MEM","PG",66,10,21.5,2.5,6.7,0.379,0.439,1.8,2.1,0.855,0.2,2.2,2.4,3,1.2,0.2,1.8,2.7,7.7,10.4,0.503,0.312,1,12,6.4,21.5,2.8,0.9,18.8,19.6,-0.6,1.3,0.6,0.021,-2.2,-0.5,-2.7,-0.3,"mariochalmers"
"68","Tyson Chandler\chandty01","PHO","C",46,46,25,2.6,4.1,0.647,0.647,1.3,2,0.617,2.9,6.2,9.1,1.2,0.3,0.6,1.3,2.3,6.5,14.2,0.657,0.503,12.2,26.8,19.4,6.6,0.7,1.9,20.5,10.6,1.9,0.8,2.7,0.111,-1.3,1,-0.3,0.5,"tysonchandler"
"69","Wilson Chandler\chandwi01","DEN","SF",74,71,31.7,3.8,8.5,0.445,0.515,1.2,1.5,0.772,1.4,4,5.4,2.2,0.6,0.5,1.2,2.1,10,11,0.542,0.181,4.9,14.1,9.6,9.5,0.9,1.4,11.9,14.3,2.1,1.2,3.3,0.067,-0.5,-0.4,-0.9,0.6,"wilsonchandler"
"70","Marquese Chriss\chrisma01","PHO","PF",72,49,21.2,2.8,6.6,0.423,0.482,1.3,2.2,0.608,1.1,4.4,5.5,1.2,0.7,1,1.5,2.8,7.7,11.1,0.509,0.331,5.2,22.7,13.8,8.1,1.6,3.7,16.4,18.1,-0.8,1.5,0.7,0.023,-3.3,1.3,-2,0,"marquesechriss"
"71","Ian Clark\clarkia01","NOP","SG",74,2,19.7,3,6.7,0.448,0.511,0.6,0.8,0.763,0.1,1.6,1.7,1.5,0.4,0.1,0.8,1.6,7.4,9.4,0.529,0.119,0.8,8.4,4.7,10.4,1.1,0.5,9.9,17.2,0.3,0.8,1.1,0.037,-2,-2,-3.9,-0.7,"ianclark"
"72","Jordan Clarkson\clarkjo01","TOT","SG",81,2,23.3,5.3,11.8,0.451,0.509,1.9,2.3,0.8,0.7,2,2.7,2.7,0.7,0.1,1.6,1.3,13.9,16.4,0.542,0.199,3.3,9.1,6.2,19.3,1.5,0.3,10.9,26.5,1.9,1.2,3,0.077,0.8,-2.7,-1.9,0.1,"jordanclarkson"
"73","John Collins\collijo01","ATL","PF",74,26,24.1,4.2,7.4,0.576,0.591,1.8,2.5,0.715,2.4,4.9,7.3,1.3,0.6,1.1,1.4,2.9,10.5,18.3,0.62,0.341,11,22.8,16.9,8.9,1.3,3.8,14.3,17.9,3.4,2,5.4,0.145,-0.2,1.9,1.7,1.7,"johncollins"
"74","Zach Collins\colliza01","POR","C",66,1,15.8,1.7,4.4,0.398,0.458,0.4,0.6,0.643,0.7,2.7,3.3,0.8,0.3,0.5,0.9,2,4.4,7.5,0.475,0.145,4.7,18.2,11.5,7.1,0.8,2.4,15.9,15.4,-0.7,1.3,0.6,0.03,-4.1,0.9,-3.2,-0.3,"zachcollins"
"75","Kyle Collinsworth\colliky01","DAL","SF",32,2,15,1.2,3.1,0.384,0.404,0.7,1.3,0.525,1,2.3,3.3,1.8,0.5,0.3,0.8,1.4,3.2,10,0.433,0.404,7.2,18,12.4,16.4,1.8,1.7,17.1,13.3,-0.1,0.5,0.5,0.046,-4,2.2,-1.8,0,"kylecollinsworth"
"76","Darren Collison\collida01","IND","PG",69,64,29.2,4.6,9.2,0.495,0.571,1.8,2.1,0.882,0.5,2,2.6,5.3,1.3,0.2,1.2,1.8,12.4,18.8,0.61,0.226,2.1,7.8,5,26.4,2.3,0.7,10.9,17.4,5.8,1.8,7.6,0.181,3.1,-1,2.2,2.1,"darrencollison"
"77","Pat Connaughton\connapa01","POR","SG",82,5,18.1,2,4.8,0.423,0.518,0.5,0.5,0.841,0.4,1.5,2,1.1,0.3,0.3,0.5,1.5,5.4,9.3,0.539,0.113,2.7,9.1,5.9,8.7,0.8,1.2,9.5,13.4,1.2,1.3,2.5,0.08,-0.9,-0.4,-1.3,0.3,"patconnaughton"
"78","Quinn Cook\cookqu01","GSW","PG",33,18,22.4,3.7,7.6,0.484,0.575,0.7,0.8,0.88,0.3,2.2,2.5,2.7,0.4,0,1,1.8,9.5,12.8,0.593,0.099,1.6,10.2,6.2,16.6,0.8,0.1,10.8,17.5,1.1,0.4,1.6,0.101,0.6,-2.8,-2.2,0,"quinncook"
"79","DeMarcus Cousins\couside01","NOP","C",48,48,36.2,8.5,18,0.47,0.53,6.1,8.2,0.746,2.2,10.7,12.9,5.4,1.6,1.6,5,3.8,25.2,22.6,0.583,0.456,6.8,30.9,19.2,23,2.2,3.5,18.9,31.9,1.5,3.2,4.7,0.13,1.9,3.6,5.5,3.3,"demarcuscousins"
"80","Robert Covington\covinro01","PHI","SF",80,80,31.7,4.3,10.5,0.413,0.534,1.5,1.7,0.853,0.7,4.7,5.4,2,1.7,0.9,1.6,3,12.6,12.9,0.563,0.163,2.4,15.5,9.2,8.7,2.6,2.4,12.3,17.2,1.6,4.5,6.1,0.116,0.4,2.1,2.5,2.9,"robertcovington"
"81","Allen Crabbe\crabbal01","BRK","SG",75,68,29.3,4.5,11,0.407,0.529,1.5,1.8,0.852,0.4,3.9,4.3,1.6,0.6,0.5,1,2.2,13.2,12.3,0.558,0.163,1.3,14.4,7.8,8.4,1,1.2,8.1,19,1.8,1.4,3.2,0.07,0.4,-1.2,-0.8,0.7,"allencrabbe"
"82","Torrey Craig\craigto01","DEN","SF",39,5,16.1,1.6,3.5,0.453,0.515,0.6,0.9,0.629,1,2.2,3.3,0.6,0.3,0.4,0.5,1.6,4.2,9.8,0.535,0.255,7.2,15.5,11.4,5.4,0.9,2,11.6,11.9,0.5,0.4,0.9,0.069,-1.7,-0.8,-2.5,-0.1,"torreycraig"
"83","Jamal Crawford\crawfja01","MIN","SG",80,0,20.7,3.9,9.3,0.415,0.485,1.3,1.4,0.903,0.3,1,1.2,2.3,0.5,0.1,1.2,1.1,10.3,13,0.519,0.152,1.4,5.5,3.5,16.9,1.2,0.5,10.7,23.7,0.9,0.3,1.3,0.037,0,-4,-3.9,-0.8,"jamalcrawford"
"84","Jae Crowder\crowdja01","TOT","SF",80,47,26.1,3.4,8.4,0.404,0.486,1.5,1.9,0.818,0.7,2.7,3.4,1.2,0.8,0.3,0.9,2.3,9.7,10.4,0.525,0.221,3.2,11.5,7.4,6.9,1.5,0.9,9.1,17.3,1,1.6,2.6,0.06,-0.8,-0.9,-1.7,0.1,"jaecrowder"
"85","Dante Cunningham\cunnida01","TOT","SF",73,25,21.4,2.2,5,0.451,0.53,0.4,0.7,0.596,1.1,3,4.1,0.7,0.5,0.4,0.5,1.5,5.7,10,0.539,0.143,5.5,14.9,10.3,4.3,1.2,1.5,7.9,11.6,1.1,1.3,2.4,0.074,-1.4,0.1,-1.4,0.2,"dantecunningham"
"86","Stephen Curry\curryst01","GSW","PG",51,51,32,8.4,16.9,0.495,0.618,5.5,5.9,0.921,0.7,4.4,5.1,6.1,1.6,0.2,3,2.2,26.4,28.2,0.675,0.35,2.7,14.4,9,30.3,2.4,0.4,13.3,31,7.2,1.8,9.1,0.267,9.9,-1.3,8.6,4.4,"stephencurry"
"87","Troy Daniels\danietr01","PHO","SG",79,15,20.5,2.9,7.3,0.403,0.563,0.7,0.8,0.875,0.2,1.5,1.6,0.6,0.3,0.1,0.7,1.7,8.9,9.8,0.583,0.111,0.8,7.7,4.2,4.5,0.8,0.2,8.5,17.2,1.4,0,1.4,0.042,0.7,-3.6,-2.9,-0.4,"troydaniels"
"88","Anthony Davis\davisan02","NOP","PF",75,75,36.4,10.4,19.5,0.534,0.552,6.6,8,0.828,2.5,8.6,11.1,2.3,1.5,2.6,2.2,2.1,28.1,28.9,0.612,0.409,7.7,24.8,16.5,10.8,2,5.6,8.6,30,8.8,4.9,13.7,0.241,2.8,2.3,5.2,4.9,"anthonydavis"
"89","Deyonta Davis\davisde01","MEM","C",62,6,15.2,2.6,4.3,0.608,0.608,0.6,0.9,0.667,1.2,2.8,4,0.6,0.2,0.6,0.5,2,5.8,16.6,0.621,0.215,9,22,15.3,7.1,0.8,3.9,9.9,15.3,1.9,0.8,2.7,0.138,-1.3,0.4,-0.9,0.3,"deyontadavis"
"90","Ed Davis\davised01","POR","C",78,0,18.9,2.2,3.7,0.582,0.582,0.9,1.4,0.667,2.3,5,7.4,0.5,0.4,0.7,0.8,2.4,5.3,15.5,0.607,0.38,13.7,28.8,21.3,3.9,1.1,2.9,16.2,12.1,2.5,2.5,5,0.164,-1.8,1.8,0,0.7,"eddavis"
"91","Dewayne Dedmon\dedmode01","ATL","C",62,46,24.9,4,7.7,0.524,0.577,1.1,1.4,0.779,1.6,6.3,7.9,1.5,0.6,0.8,1.4,2.6,10,15.8,0.599,0.18,7.2,28.1,17.7,9.2,1.3,2.8,14.3,17,1.8,1.9,3.7,0.114,-1,1.6,0.5,1,"dewaynededmon"
"92","Sam Dekker\dekkesa01","LAC","PF",73,1,12.1,1.8,3.5,0.494,0.514,0.5,0.8,0.661,0.6,1.8,2.4,0.5,0.3,0.1,0.5,1,4.2,11.5,0.534,0.216,5.6,16,10.8,6.2,1.3,0.9,10.4,15.5,0.6,0.6,1.2,0.066,-2.1,-1,-3.1,-0.2,"samdekker"
"93","Malcolm Delaney\delanma01","ATL","PG",54,3,18.8,2,5.3,0.382,0.463,1.4,1.7,0.804,0.2,1.7,1.9,3,0.6,0.1,1.2,1.5,6.3,10.6,0.519,0.323,1,10,5.5,23.4,1.7,0.5,16.9,16.9,0.4,0.6,1,0.047,-2,-1.5,-3.6,-0.4,"malcolmdelaney"
"94","Matthew Dellavedova\dellama01","MIL","PG",38,3,18.7,1.4,4,0.362,0.457,0.7,0.7,0.926,0.4,1.3,1.7,3.8,0.4,0,1.3,1.8,4.3,8.6,0.5,0.178,2.3,8.2,5.3,27.4,1,0,23,13.5,0.3,0.2,0.5,0.032,-2.3,-3.6,-5.9,-0.7,"matthewdellavedova"
"95","DeMar DeRozan\derozde01","TOR","SG",80,80,33.9,8.1,17.7,0.456,0.488,5.8,7,0.825,0.7,3.2,3.9,5.2,1.1,0.3,2.2,1.9,23,21,0.555,0.396,2.5,10.4,6.5,25,1.5,0.6,9.5,29.6,6.8,2.8,9.6,0.17,2.7,-0.9,1.8,2.6,"demarderozan"
"96","Cheick Diallo\diallch01","NOP","PF",52,0,11.2,2,3.4,0.58,0.58,1,1.3,0.758,0.9,3.2,4.1,0.4,0.2,0.4,0.5,1.6,4.9,17,0.619,0.375,9.1,29.6,19.7,4.7,0.9,2.9,12,17.4,1.1,0.8,1.9,0.157,-2.8,-0.3,-3.1,-0.2,"cheickdiallo"
"97","Gorgui Dieng\dienggo01","MIN","C",79,0,16.9,2.4,4.9,0.479,0.504,1,1.3,0.775,1.3,3.2,4.6,0.9,0.6,0.5,0.7,1.9,5.9,14.7,0.543,0.263,9.1,22.2,15.6,7.5,1.7,2.6,12,16.3,1.6,1.3,2.9,0.105,-1,0.6,-0.4,0.5,"gorguidieng"
"98","Spencer Dinwiddie\dinwisp01","BRK","PG",80,58,28.8,4.1,10.5,0.387,0.471,2.7,3.4,0.813,0.5,2.7,3.2,6.6,0.9,0.3,1.6,2.3,12.6,15.9,0.527,0.32,1.8,10.2,6,35,1.4,0.7,11.8,20.3,4.3,1.4,5.7,0.118,2.1,-1.8,0.2,1.3,"spencerdinwiddie"
"99","Tyler Dorsey\dorsety01","ATL","SG",56,5,17.4,2.6,6.8,0.377,0.471,0.8,1.1,0.714,0.3,2,2.3,1.4,0.3,0.1,0.7,1.1,7.2,10,0.494,0.165,2,12.9,7.4,12.5,0.9,0.4,8.3,20,0,0.4,0.4,0.02,-1.8,-2.5,-4.2,-0.5,"tylerdorsey"
"100","Damyean Dotson\dotsoda01","NYK","SG",44,2,10.8,1.6,3.7,0.447,0.516,0.4,0.5,0.696,0.2,1.7,1.9,0.7,0.3,0,0.4,0.8,4.1,11.6,0.532,0.143,2.1,17.5,9.8,9.5,1.3,0.4,9,17.3,0.3,0.3,0.6,0.06,-1.4,-1.7,-3.1,-0.1,"damyeandotson"
"101","Goran Dragic\dragigo01","MIA","PG",75,75,31.7,6.5,14.3,0.45,0.502,2.9,3.6,0.801,0.7,3.4,4.1,4.8,0.8,0.2,2.2,2.4,17.3,16.6,0.543,0.252,2.5,12,7.2,25.4,1.3,0.4,12.2,25.7,2.9,2.3,5.3,0.106,1,-1.1,-0.1,1.2,"gorandragic"
"102","Andre Drummond\drumman01","DET","C",78,78,33.7,6,11.3,0.529,0.529,3.1,5.1,0.605,5.1,10.9,16,3,1.5,1.6,2.6,3.2,15,22.9,0.555,0.448,16.4,36.4,26.2,14.3,2.2,4.3,15.9,21.2,4.6,5.7,10.3,0.189,0.2,5.3,5.5,5,"andredrummond"
"103","Jared Dudley\dudleja01","PHO","PF",48,0,14.3,1,2.5,0.393,0.512,0.6,0.7,0.771,0.2,1.8,2,1.6,0.5,0.2,0.6,1.8,3.2,8.8,0.553,0.287,1.2,13.6,7.3,15.6,1.7,1.3,16.9,10.2,0.5,0.4,0.8,0.058,-1.9,0,-1.9,0,"jareddudley"
"104","Kris Dunn\dunnkr01","CHI","PG",52,43,29.3,5.5,12.8,0.429,0.462,1.6,2.2,0.73,0.5,3.8,4.3,6,2,0.5,2.9,3.4,13.4,14.5,0.488,0.173,1.6,14.4,7.8,33.3,3.3,1.6,17.3,24.7,-1,1.9,0.8,0.027,-1.4,1.4,-0.1,0.7,"krisdunn"
"105","Kevin Durant\duranke01","GSW","PF",68,68,34.2,9.3,18,0.516,0.586,5.3,5.9,0.889,0.5,6.4,6.8,5.4,0.7,1.8,3,2,26.4,26,0.64,0.331,1.6,19.5,11.2,25.5,1,4,12.9,30.4,7.5,2.9,10.4,0.215,5,0.7,5.6,4.5,"kevindurant"
"106","Henry Ellenson\ellenhe01","DET","PF",38,0,8.7,1.4,3.8,0.363,0.432,0.7,0.8,0.862,0.3,1.9,2.1,0.5,0.1,0,0.5,0.6,4,10.5,0.476,0.199,3.3,24.3,13.6,9.4,0.8,0,10.2,23.8,-0.2,0.4,0.1,0.02,-4.3,-2.6,-6.8,-0.4,"henryellenson"
"107","Wayne Ellington\ellinwa01","MIA","SG",77,2,26.5,3.7,9.1,0.407,0.569,0.9,1,0.859,0.3,2.5,2.8,1,0.7,0.1,0.7,1.2,11.2,12.5,0.588,0.111,1.3,10.7,6,5.9,1.3,0.3,6.6,17.3,2.6,1.9,4.5,0.105,1.8,-1.8,0,1,"wayneellington"
"108","Joel Embiid\embiijo01","PHI","C",63,63,30.3,8.1,16.8,0.483,0.514,5.7,7.4,0.769,2.3,8.7,11,3.2,0.6,1.8,3.7,3.3,22.9,22.9,0.573,0.442,8.4,29.7,19.4,18,1,4.8,15.6,33.4,2.3,3.8,6.2,0.155,0.1,2.5,2.6,2.2,"joelembiid"
"109","James Ennis\ennisja01","TOT","SF",72,22,22.3,2.5,5.3,0.474,0.54,1.3,1.6,0.836,1,2.1,3.1,1,0.7,0.3,0.8,1.9,7.1,11.6,0.588,0.302,5.1,11,8,6.6,1.5,1,11.4,13.7,2,1.1,3.1,0.092,-0.6,-0.5,-1.1,0.4,"jamesennis"
"110","Tyler Ennis\ennisty01","LAL","PG",54,11,12.6,1.7,4.1,0.42,0.451,0.4,0.5,0.759,0.4,1.4,1.8,1.9,0.6,0.2,0.7,1.4,4.1,11.1,0.473,0.129,3,11.8,7.4,21.9,2.1,1.2,13.8,17.1,0.1,0.7,0.8,0.058,-2.8,-0.1,-2.9,-0.1,"tylerennis"
"111","Jawun Evans\evansja01","LAC","PG",48,4,16.2,1.9,5.3,0.352,0.381,0.8,1,0.776,0.2,1.6,1.8,2.1,0.8,0.1,0.9,2,4.8,7.2,0.421,0.194,1.3,10.4,5.9,17.8,2.3,0.6,13.8,17.7,-0.8,0.6,-0.2,-0.011,-4.2,-0.5,-4.7,-0.5,"jawunevans"
"112","Tyreke Evans\evansty01","MEM","PG",52,32,30.9,7,15.6,0.452,0.523,3.2,4,0.785,0.8,4.3,5.1,5.2,1.1,0.3,2.3,1.8,19.4,21.1,0.561,0.258,3.1,16.3,9.5,31.2,1.8,1,11.5,28.4,3.1,1.2,4.2,0.126,4.4,-0.8,3.6,2.3,"tyrekeevans"
"113","Kenneth Faried\farieke01","DEN","PF",32,7,14.4,2.4,4.6,0.514,0.514,1.1,1.6,0.706,2.1,2.7,4.8,0.6,0.4,0.4,0.7,1.6,5.9,17.4,0.552,0.345,16.7,20.7,18.7,5.8,1.3,2.4,11.9,18.3,0.9,0.4,1.3,0.132,-1.1,-1.1,-2.3,0,"kennethfaried"
"114","Derrick Favors\favorde01","UTA","C",77,77,28,5.1,9.1,0.563,0.573,1.8,2.8,0.651,2.6,4.6,7.2,1.3,0.7,1.1,1.1,2.1,12.3,18.8,0.593,0.306,10.6,18.5,14.6,7.8,1.3,3.2,9.9,18.5,4.5,3.5,8,0.179,0.5,2.2,2.7,2.5,"derrickfavors"
"115","Cristiano Felicio\feliccr01","CHI","C",55,16,17.8,2.3,3.9,0.591,0.591,1,1.5,0.667,1.5,2.7,4.2,1,0.3,0.2,1,1.9,5.6,12.5,0.614,0.377,8.8,17.1,12.8,8.4,0.8,1,17.7,13.6,1.2,0.5,1.7,0.086,-2.3,-0.1,-2.4,-0.1,"cristianofelicio"
"116","Raymond Felton\feltora01","OKC","PG",82,2,16.6,2.7,6.7,0.406,0.479,0.4,0.5,0.818,0.3,1.6,1.9,2.5,0.6,0.2,0.9,1.1,6.9,13,0.494,0.08,2,11,6.3,22.5,1.8,1.1,11.7,20.4,0.9,1.3,2.2,0.078,-1.1,-1.7,-2.8,-0.3,"raymondfelton"
"117","Terrance Ferguson\fergute01","OKC","SG",61,12,12.5,1.1,2.8,0.414,0.533,0.1,0.2,0.9,0.3,0.5,0.8,0.3,0.4,0.2,0.2,1.4,3.1,7.4,0.545,0.059,2.7,4.2,3.4,3.4,1.6,1.2,6,10.4,0.7,0.5,1.2,0.077,-1.2,-1.3,-2.5,-0.1,"terranceferguson"
"118","Yogi Ferrell\ferreyo01","DAL","SG",82,21,27.8,3.8,8.9,0.426,0.518,1,1.3,0.796,0.3,2.7,3,2.5,0.8,0.1,1,1.9,10.2,11.4,0.54,0.141,1.2,11.2,6.1,13.5,1.4,0.4,9.1,17,1.5,1.5,3,0.064,-0.4,-0.6,-1,0.6,"yogiferrell"
"119","Bryn Forbes\forbebr01","SAS","SG",80,12,19,2.6,6.2,0.421,0.51,0.6,0.9,0.667,0.2,1.2,1.4,1,0.4,0,0.5,1.4,6.9,9.1,0.525,0.145,0.9,7.2,4,7.8,0.9,0.1,6.5,16.7,0.8,1.3,2.1,0.067,-1.2,-1.9,-3.1,-0.4,"brynforbes"
"120","Evan Fournier\fournev01","ORL","SF",57,57,32.2,6.5,14.1,0.459,0.538,2.6,3,0.867,0.4,2.8,3.2,2.9,0.8,0.3,1.7,2.4,17.8,15.5,0.577,0.216,1.4,9.5,5.4,14.8,1.3,0.7,9.8,23.3,2.4,0.9,3.3,0.087,1.6,-2.1,-0.4,0.7,"evanfournier"
"121","De'Aaron Fox\foxde01","SAC","PG",73,60,27.8,4.5,10.9,0.412,0.441,1.9,2.7,0.723,0.5,2.3,2.8,4.4,1,0.3,2.4,2.2,11.6,11.2,0.478,0.245,1.8,10,5.7,24.6,1.7,0.9,16.4,23.4,-1.7,1.1,-0.6,-0.014,-2.8,-1.5,-4.4,-1.2,"deaaronfox"
"122","Tim Frazier\fraziti01","WAS","PG",59,11,14.2,1.2,2.9,0.395,0.445,0.4,0.5,0.767,0.3,1.6,1.9,3.3,0.8,0.1,1,1.6,3,11.3,0.475,0.174,2.4,13.1,7.8,31.1,2.8,0.7,23.5,12.8,0.4,1,1.4,0.08,-2.4,0.3,-2.1,0,"timfrazier"
"123","Channing Frye\fryech01","TOT","C",53,1,13.1,2,4,0.491,0.583,0.3,0.4,0.895,0.2,2.3,2.5,0.7,0.3,0.2,0.4,1.3,5,13.1,0.599,0.09,1.9,19.4,10.8,7.9,1.3,1.6,8.7,15.2,0.9,0.6,1.5,0.101,-0.7,-1,-1.7,0.1,"channingfrye"
"124","Langston Galloway\gallola01","DET","SG",58,2,14.9,2.2,5.9,0.371,0.481,0.6,0.7,0.805,0.2,1.4,1.6,1,0.6,0.1,0.3,0.7,6.2,12.2,0.503,0.121,1.6,10.3,5.9,10.1,2,0.5,4.8,19.3,0.5,0.9,1.4,0.08,-0.2,-1.6,-1.7,0.1,"langstongalloway"
"125","Marc Gasol\gasolma01","MEM","C",73,73,33,5.9,14.2,0.42,0.473,3.8,4.6,0.834,1.1,7,8.1,4.2,0.7,1.4,2.7,2.5,17.2,17.4,0.532,0.326,3.7,25.3,14.2,21.7,1.1,3.9,14.1,25.6,1.5,2.6,4,0.08,-0.1,1.6,1.5,2.1,"marcgasol"
"126","Pau Gasol\gasolpa01","SAS","C",77,63,23.5,3.7,8.1,0.458,0.492,2.1,2.7,0.756,1.7,6.4,8,3.1,0.3,1,1.4,1.6,10.1,18.9,0.539,0.333,7.8,30.2,19,20.1,0.7,3.6,13.1,20.4,2.7,3.3,6,0.159,-0.1,3.3,3.2,2.4,"paugasol"
"127","Rudy Gay\gayru01","SAS","PF",57,6,21.6,4.4,9.4,0.471,0.506,2,2.5,0.772,1.3,3.8,5.1,1.3,0.8,0.7,1.4,1.7,11.5,18,0.545,0.27,6.8,19.5,13.1,9.8,1.9,2.6,11.5,24.6,1,2.1,3.1,0.123,-0.7,1,0.3,0.7,"rudygay"
