,fix,PS.G,FGA,MP,VORP,TOV,PER,USG.,G,average.salary,perf_cluster,sal_bracket,over_under
0,arronafflalo,8.4,6.9,25.9,-0.6,0.7,8.9,14.4,61,2328652,4,1,3
1,alexisajinca,5.3,4.6,15.0,-0.3,0.8,12.9,17.2,39,5050000,5,3,2
2,colealdrich,1.7,1.4,8.6,0.4,0.3,12.7,9.4,62,7300000,1,3,-2
3,lamarcusaldridge,17.3,14.6,32.4,1.8,1.4,18.6,24.5,72,21018008,6,7,-1
4,tonyallen,9.1,8.4,27.0,1.3,1.4,13.3,17.9,71,2328652,3,1,2
5,alfarouqaminu,8.7,7.6,29.1,0.4,1.5,11.3,15.4,61,7500000,4,3,1
6,ryananderson,13.6,10.7,29.4,0.6,0.8,13.5,17.9,72,20000000,6,6,0
7,carmeloanthony,22.4,18.8,34.3,0.8,2.1,17.9,29.1,74,24812936,8,8,0
8,trevorariza,11.7,10.0,34.7,2.6,0.9,12.4,14.1,80,8000001,6,3,3
9,darrellarthur,6.4,5.2,15.6,0.3,0.9,12.8,17.3,41,7666667,5,3,2
10,omerasik,2.7,2.1,15.5,-0.1,0.5,9.8,8.8,31,11595505,5,4,1
11,djaugustin,7.9,6.6,19.7,-0.9,1.2,11.0,19.4,78,7250000,3,3,0
12,lukebabbitt,4.8,4.1,15.7,0.0,0.4,8.3,13.0,68,1974159,1,1,0
13,harrisonbarnes,19.2,16.2,35.5,0.1,1.3,16.3,25.3,79,23609631,6,7,-1
14,willbarton,13.7,11.1,28.4,1.0,1.6,15.5,21.1,60,3533333,7,2,5
15,nicolasbatum,15.1,12.7,34.0,2.1,2.5,15.8,22.3,77,24000000,6,7,-1
16,aronbaynes,4.9,3.7,15.5,0.1,0.7,13.1,14.1,75,4328000,1,2,-1
17,kentbazemore,11.0,9.9,26.9,0.6,1.7,11.5,20.5,73,17500000,6,6,0
18,bradleybeal,23.1,17.2,34.9,2.8,2.0,20.1,26.5,77,25434263,8,8,0
19,michaelbeasley,9.4,7.3,16.7,-0.2,1.2,17.8,25.3,56,2116955,2,1,1
20,marcobelinelli,10.5,8.3,24.0,0.1,0.9,13.3,19.2,74,6333333,3,3,0
21,patrickbeverley,9.5,8.1,30.7,2.3,1.5,13.0,14.1,67,5756757,4,3,1
22,bismackbiyombo,6.0,4.2,22.1,-0.1,1.2,12.2,13.2,81,18000000,3,6,-3
23,ericbledsoe,21.1,15.7,33.0,2.9,3.4,20.5,28.1,66,14000000,7,5,2
24,trevorbooker,10.0,8.3,24.7,0.9,1.8,15.7,18.7,71,9187500,3,4,-1
25,averybradley,16.3,14.1,33.4,0.7,1.6,14.4,21.9,55,8000000,7,3,4
26,aaronbrooks,5.0,4.6,13.8,-0.6,1.0,9.5,19.2,65,2116955,1,1,0
27,alecburks,6.7,5.9,15.5,-0.4,0.8,11.6,22.7,42,10500000,2,4,-2
28,demarrecarroll,8.9,7.6,26.1,1.4,0.8,11.9,15.6,72,14500000,3,5,-2
29,vincecarter,8.0,6.7,24.6,1.4,0.7,11.7,14.9,73,8000000,3,3,0
30,tysonchandler,8.4,4.9,27.6,0.5,1.4,16.6,11.2,47,13000000,2,5,-3
31,wilsonchandler,15.7,13.2,30.9,0.6,1.6,14.9,22.0,71,11625000,6,4,2
32,jordanclarkson,14.7,13.1,29.2,-0.4,2.0,13.2,23.3,82,12500000,6,5,1
33,darrencollison,13.2,10.5,30.3,0.3,1.7,15.3,19.8,68,10000000,6,4,2
34,mikeconley,20.5,14.6,33.2,4.5,2.3,23.2,26.3,69,30521115,8,8,0
35,allencrabbe,10.7,8.2,28.5,0.6,0.8,11.6,14.9,79,18708125,3,6,-3
36,jamalcrawford,12.3,10.6,26.3,-0.6,1.6,12.0,22.7,82,4436200,6,2,4
37,jaecrowder,13.9,10.0,32.4,2.1,1.1,14.9,17.0,72,7000000,6,3,3
38,dantecunningham,6.6,5.4,25.0,0.6,0.4,10.2,10.7,66,2300000,4,1,3
39,stephencurry,25.3,18.3,33.4,6.2,3.0,24.6,30.1,79,40231758,8,8,0
40,anthonydavis,28.0,20.3,36.1,3.9,2.4,27.5,32.6,75,25434263,8,8,0
41,eddavis,4.3,3.1,17.2,0.0,0.8,11.5,12.0,46,6666667,2,3,-1
42,matthewdellavedova,7.6,7.0,26.1,-1.4,1.8,9.4,16.3,76,9607500,3,4,-1
43,luoldeng,7.6,7.6,26.5,-0.2,0.8,10.1,14.2,56,18000000,4,6,-2
44,demarderozan,27.3,20.9,35.4,1.9,2.4,24.0,34.3,74,27800000,8,8,0
45,spencerdinwiddie,7.3,5.1,22.6,0.4,1.1,12.7,14.1,59,967911,4,1,3
46,gorandragic,20.3,15.4,33.7,2.9,2.9,19.8,27.1,73,17000450,8,6,2
47,andredrummond,13.6,11.2,29.7,1.8,1.9,20.9,22.4,81,25434263,6,8,-2
48,jareddudley,6.8,5.4,21.3,0.6,1.1,10.6,13.8,64,10000000,4,4,0
49,kevindurant,25.1,16.5,33.4,5.2,2.2,27.6,27.8,62,25625000,7,8,-1
50,wayneellington,10.5,9.0,24.2,0.7,0.5,12.6,17.9,62,6135000,4,3,1
51,kennethfaried,9.6,6.8,21.2,0.9,1.0,20.3,18.3,61,12500000,4,5,-1
52,derrickfavors,9.5,8.3,23.7,0.6,1.2,15.8,20.7,50,11737500,2,4,-2
53,raymondfelton,6.7,6.4,21.3,0.4,1.0,10.9,16.5,80,2328652,3,1,2
54,evanfournier,17.2,13.7,32.9,0.4,2.1,13.9,23.5,68,17000000,7,6,1
55,timfrazier,7.1,6.2,23.5,-0.1,1.6,12.4,16.3,65,2045000,4,1,3
56,channingfrye,9.1,7.0,18.9,0.5,0.7,15.6,19.3,74,8000000,1,3,-2
57,danilogallinari,18.2,11.9,33.9,1.5,1.3,17.4,20.0,63,21587579,7,7,0
58,marcgasol,19.5,15.7,34.2,4.0,2.2,20.3,26.4,74,22642350,8,7,1
59,paugasol,12.4,9.4,25.4,2.4,1.3,20.2,21.3,64,16000000,4,5,-1
60,rudygay,18.7,14.7,33.8,0.7,2.5,17.9,25.8,30,8616150,5,4,1
61,paulgeorge,23.7,18.0,35.9,3.2,2.9,20.2,28.9,75,18314532,8,6,2
62,manuginobili,7.5,6.4,18.7,1.3,1.4,13.9,20.4,69,2500000,1,2,-1
63,ericgordon,16.2,13.5,31.0,0.4,1.6,13.2,22.1,75,13221622,6,5,1
64,marcingortat,10.8,8.2,31.2,1.5,1.5,15.4,14.7,82,12000000,3,4,-1
65,dannygreen,7.3,6.6,26.6,2.0,1.1,10.1,13.5,68,10000000,4,4,0
66,draymondgreen,10.2,8.6,32.5,4.6,2.4,16.5,16.2,76,16400000,6,6,0
67,geraldgreen,5.6,4.9,11.4,-0.4,0.5,11.9,22.7,47,2328652,2,1,1
68,jeffgreen,9.2,8.1,22.2,-1.0,1.1,10.5,20.3,69,2328652,4,1,3
69,blakegriffin,21.6,15.9,34.0,3.4,2.3,22.6,28.0,61,34234964,7,8,-1
70,jamesharden,29.1,18.9,36.4,9.0,5.7,27.4,34.2,81,29491212,8,8,0
71,mauriceharkless,10.0,8.1,28.9,1.5,1.1,13.1,15.2,77,10500000,3,4,-1
72,devinharris,6.7,5.2,16.7,0.4,0.9,13.8,19.7,65,4140721,1,2,-1
73,joeharris,8.2,7.0,21.9,-0.3,1.1,9.0,16.5,52,1015838,2,1,1
74,tobiasharris,16.1,13.0,31.3,2.0,1.2,16.9,21.7,82,16000000,6,5,1
75,gordonhayward,21.9,15.8,34.5,4.0,1.9,22.2,27.6,73,31957493,8,8,0
76,johnhenson,6.8,5.3,19.4,0.6,0.9,15.3,16.6,58,12000000,4,4,0
77,nenehilario,9.1,5.9,17.9,0.7,1.1,18.9,19.7,67,3651480,1,2,-1
78,georgehill,16.9,12.4,31.5,2.2,1.7,19.3,23.5,49,19000000,7,6,1
79,solomonhill,7.0,6.0,29.7,1.0,1.0,8.0,11.5,80,12000000,3,4,-1
80,jrueholiday,15.4,13.3,32.7,2.0,2.9,17.1,23.5,67,26361000,7,8,-1
81,justinholiday,7.7,6.6,20.0,0.4,0.8,12.7,16.9,82,4500000,3,2,1
82,rondaehollisjefferson,8.7,6.9,22.6,0.4,1.5,13.7,18.7,78,1395600,3,1,2
83,alhorford,14.0,11.8,32.3,2.8,1.7,17.7,19.7,68,28331557,6,8,-2
84,dwighthoward,13.5,8.3,29.7,2.4,2.3,20.8,19.2,74,23500000,6,7,-1
85,krishumphries,4.6,3.8,12.3,-0.1,0.5,13.6,17.6,56,2328652,2,1,1
86,andreiguodala,7.6,5.5,26.3,2.5,0.8,14.3,11.2,76,16000000,3,5,-2
87,kyrieirving,25.2,19.7,35.1,2.9,2.5,23.0,30.8,72,18868625,8,6,2
88,reggiejackson,14.5,13.0,27.4,0.2,2.2,14.9,26.4,52,16000000,7,5,2
89,lebronjames,26.4,18.2,37.8,7.3,4.1,27.0,30.0,74,33285709,8,8,0
90,aljefferson,8.1,7.1,14.1,-0.2,0.5,18.9,26.1,66,10000000,1,4,-3
91,richardjefferson,5.7,4.3,20.4,-0.2,0.7,8.3,12.2,79,2537500,3,2,1
92,jonasjerebko,3.8,3.4,15.8,0.0,0.5,9.3,11.4,78,4100000,1,2,-1
93,amirjohnson,6.5,4.6,20.1,1.7,1.0,15.0,13.6,80,11000000,3,4,-1
94,jamesjohnson,12.8,10.1,27.4,2.5,2.3,17.0,22.0,76,14431700,6,5,1
95,joejohnson,9.2,8.0,23.6,0.8,0.9,12.8,18.5,78,10752500,3,4,-1
96,tylerjohnson,13.7,11.3,29.8,1.9,1.2,15.9,20.9,73,12500000,6,5,1
97,wesleyjohnson,2.7,2.9,11.9,0.0,0.3,8.4,12.5,68,5881260,1,3,-2
98,deandrejordan,12.7,7.1,31.7,3.9,1.4,21.8,15.3,81,21904013,6,7,-1
99,coryjoseph,9.3,8.3,25.0,0.6,1.4,13.2,18.4,80,7472500,3,3,0
100,eneskanter,14.3,10.2,21.3,0.3,1.7,23.7,27.3,72,17515007,6,6,0
101,michaelkiddgilchrist,9.2,7.6,29.0,1.3,0.7,14.3,14.6,81,13000000,3,5,-2
102,seankilpatrick,13.1,10.5,25.1,-0.4,1.9,13.1,23.8,70,750951,6,1,5
103,brandonknight,11.0,9.7,21.1,-0.7,1.6,12.4,25.0,54,14000000,2,5,-3
104,kostakoufos,6.6,5.5,20.0,0.0,0.9,13.8,15.3,71,8219750,1,4,-3
105,jeremylamb,9.7,7.9,18.4,0.1,0.6,17.0,23.2,62,7000000,4,3,1
106,courtneylee,10.8,9.1,31.9,1.1,0.9,12.2,14.4,77,12000835,3,4,-1
107,kawhileonard,25.5,17.7,33.4,6.2,2.1,27.6,31.1,74,18868625,8,6,2
108,meyersleonard,5.4,5.1,16.5,-0.4,0.5,8.9,15.5,74,10250000,1,4,-3
109,jonleuer,10.2,8.6,25.9,1.0,0.9,14.2,17.3,75,10500000,3,4,-1
110,carislevert,8.2,6.7,21.7,0.3,1.0,12.3,16.6,57,1597380,4,1,3
111,damianlillard,27.0,19.8,35.9,4.3,2.6,24.1,31.5,75,27977689,8,8,0
112,jeremylin,14.5,11.1,24.5,0.9,2.4,19.2,26.6,36,12766667,5,5,0
113,shaunlivingston,5.1,4.2,17.7,0.0,0.8,10.1,13.0,76,7897436,1,3,-2
114,brooklopez,20.5,15.6,29.6,2.0,2.5,20.4,29.2,75,21165675,8,7,1
115,robinlopez,10.4,9.6,28.0,0.6,1.1,14.4,17.5,81,13503875,3,5,-2
116,kevinlove,19.0,14.5,31.4,1.3,2.0,21.1,26.4,60,22642350,7,7,0
117,kylelowry,22.4,15.3,37.4,4.9,2.9,22.9,24.9,60,33333333,7,8,-1
118,shelvinmack,7.8,6.9,21.9,0.1,1.6,10.9,19.6,55,6000000,2,3,-1
119,ianmahinmi,5.6,3.6,17.9,0.4,1.1,14.1,14.0,31,16000000,5,5,0
120,wesleymatthews,13.5,11.6,34.2,1.3,1.4,11.9,19.4,73,17515007,6,6,0
121,javalemcgee,6.1,4.1,9.6,0.5,0.5,25.2,23.8,77,2116955,1,1,0
122,jodiemeeks,9.1,7.1,20.5,0.0,1.0,13.1,19.4,36,3372250,5,2,3
123,khrismiddleton,14.7,11.5,30.7,0.3,2.2,15.0,22.5,29,14000000,5,5,0
124,cjmiles,10.7,8.5,23.4,0.7,0.5,13.8,18.4,76,8333333,3,4,-1
125,paulmillsap,18.1,14.1,34.0,2.7,2.3,17.8,24.4,69,30500000,7,8,-1
126,gregmonroe,11.7,9.0,22.5,1.9,1.7,21.1,24.3,81,17145838,6,6,0
127,etwaunmoore,9.6,8.5,24.9,0.3,0.8,12.1,17.4,73,8500000,3,4,-1
128,marcusmorris,14.0,12.7,32.5,1.0,1.1,12.4,20.3,79,5000000,6,2,4
129,markieffmorris,14.0,11.7,31.2,0.6,1.7,13.7,20.5,76,8000000,6,3,3
130,timofeymozgov,7.4,6.1,20.4,-0.4,1.3,12.3,16.8,54,16000000,2,5,-3
131,jameernelson,9.2,8.1,27.3,0.0,1.7,11.5,15.8,75,4540525,3,2,1
132,joakimnoah,5.0,4.4,22.1,1.1,1.3,15.2,12.6,46,18147500,2,6,-4
133,dirknowitzki,14.2,12.6,26.4,0.2,0.9,17.0,25.8,54,5000000,7,2,5
134,kyleoquinn,6.3,5.2,15.6,1.7,1.0,20.5,18.5,79,4003125,1,2,-1
135,zazapachulia,6.1,4.4,18.1,1.5,1.2,16.1,15.3,70,3477600,1,2,-1
136,tonyparker,10.1,9.0,25.2,-0.4,1.4,13.0,20.2,63,14445313,4,5,-1
137,chandlerparsons,6.2,6.5,19.9,-0.3,0.7,7.7,17.8,34,23609631,5,7,-2
138,patrickpatterson,6.8,5.9,24.6,1.2,0.6,10.8,12.5,65,5451600,4,3,1
139,chrispaul,18.1,12.9,31.5,5.3,2.4,26.2,24.4,61,21468695,7,7,0
140,dwightpowell,6.7,4.9,17.3,1.2,0.4,17.6,16.7,77,9317188,1,4,-3
141,zachrandolph,14.1,13.2,24.5,0.0,1.4,18.5,29.2,73,12000000,6,4,2
142,jjredick,15.0,11.4,28.2,1.1,1.3,14.8,22.0,78,23000000,6,7,-1
143,austinrivers,12.0,9.9,27.8,0.2,1.6,11.4,20.3,74,11825000,6,4,2
144,rajonrondo,7.8,8.1,26.7,1.1,2.4,13.6,17.8,69,3300000,4,2,2
145,derrickrose,18.0,15.3,32.5,0.0,2.3,17.0,25.7,64,2106470,7,1,6
146,rickyrubio,11.1,8.7,32.9,1.7,2.6,16.8,17.4,75,13750000,6,5,1
147,brandonrush,4.2,4.0,21.9,0.0,0.6,6.6,9.6,47,2116955,2,1,1
148,thabosefolosha,7.2,6.4,25.7,1.3,0.9,11.9,13.3,62,5250000,4,3,1
149,ramonsessions,6.2,5.3,16.2,-0.5,0.9,12.4,20.1,50,2328652,2,1,1
150,imanshumpert,7.5,6.4,25.5,0.3,1.0,9.0,14.0,76,10000000,3,4,-1
151,kylesingler,2.8,2.6,12.0,-0.4,0.3,5.9,11.2,32,4750000,5,2,3
152,jrsmith,8.6,8.7,29.0,0.2,0.6,8.1,14.6,41,14250000,5,5,0
153,jasonsmith,5.7,4.4,14.4,0.2,0.8,13.6,16.7,74,5225000,1,3,-2
154,marreesespeights,8.7,6.7,15.7,0.9,0.8,17.5,23.6,82,2116955,1,1,0
155,jeffteague,15.3,11.1,32.4,2.6,2.6,19.2,22.1,82,19000000,6,6,0
156,mirzateletovic,6.4,6.0,16.2,-0.8,0.5,8.8,19.1,70,10500000,1,4,-3
157,garretttemple,7.8,6.6,26.6,1.0,1.2,11.2,14.2,65,8000000,4,3,1
158,jasonterry,4.1,3.3,18.4,0.3,0.5,9.1,9.8,74,2328652,1,1,0
159,isaiahthomas,28.9,19.4,33.8,4.8,2.8,26.5,34.0,76,6750001,8,3,5
160,lancethomas,6.0,5.3,21.0,-0.4,0.5,8.4,13.1,46,6887488,2,3,-1
161,klaythompson,22.3,17.6,34.0,1.5,1.6,17.4,26.1,78,17244863,8,6,2
162,tristanthompson,8.1,5.6,29.9,2.0,0.8,15.3,11.3,78,16400000,3,6,-3
163,anthonytolliver,7.1,5.4,22.7,0.6,0.9,11.1,13.6,65,3290000,4,2,2
164,evanturner,9.0,8.5,25.5,-0.3,1.5,11.4,18.5,65,17500000,4,6,-2
165,benoudrih,5.8,5.1,14.4,-0.1,0.9,16.2,19.6,39,2328652,5,1,4
166,jonasvalanciunas,12.0,8.8,25.8,0.7,1.3,20.1,19.5,80,16000000,6,5,1
167,nikolavucevic,14.6,13.7,28.8,1.6,1.6,19.1,24.8,75,13250000,6,5,1
168,dwyanewade,18.3,15.9,29.9,1.3,2.3,18.5,29.6,60,2328652,7,1,6
169,dionwaiters,15.8,14.4,30.1,0.4,2.2,14.5,26.3,46,13000000,7,5,2
170,kembawalker,23.2,18.3,34.7,3.9,2.1,21.3,29.2,79,12000000,8,4,4
171,johnwall,23.1,18.4,36.4,4.3,4.1,23.2,30.6,78,16957900,8,6,2
172,davidwest,4.6,3.7,12.6,0.9,1.1,16.6,17.9,68,2328652,1,1,0
173,russellwestbrook,31.6,24.0,34.6,12.4,5.4,30.6,41.7,81,28530608,8,8,0
174,isaiahwhitehead,7.4,7.0,22.5,-1.2,1.9,7.6,18.2,73,1146474,3,1,2
175,hassanwhiteside,17.0,12.6,32.6,0.9,2.0,22.6,22.7,77,24604885,6,8,-2
176,marvinwilliams,11.2,9.3,30.2,1.3,0.8,13.7,16.3,76,13628125,3,5,-2
177,brandanwright,6.8,4.8,16.0,0.4,0.4,18.5,16.3,28,5709880,5,3,2
178,nickyoung,13.2,10.6,25.9,0.5,0.6,14.1,19.5,60,5192000,4,3,1
179,thaddeusyoung,11.0,9.3,30.2,1.9,1.3,14.9,16.4,74,13500000,6,5,1
180,tylerzeller,3.5,3.1,10.3,-0.1,0.4,13.0,16.5,51,1821740,2,1,1
181,quincyacy,5.8,4.5,14.7,-0.1,0.6,11.8,16.8,38,1749815,5,1,4
182,andrewbogut,2.9,3.0,21.6,0.3,1.6,9.3,10.4,27,2328652,5,1,4
183,coreybrewer,4.5,4.2,15.6,-0.2,0.7,9.1,14.3,82,7806971,1,3,-2
184,josecalderon,3.4,3.3,13.1,-0.4,1.0,8.9,14.4,41,2328652,5,1,4
185,omricasspi,5.2,4.6,17.9,-0.2,0.8,10.0,14.4,36,2106470,5,1,4
186,demarcuscousins,27.0,19.9,34.2,5.3,3.7,25.8,36.5,72,16404925,8,6,2
187,tyrekeevans,10.3,9.3,19.7,0.2,1.5,15.5,26.7,40,3290000,5,2,3
188,tajgibson,10.8,9.1,25.5,-0.1,1.3,15.0,19.3,78,14000000,3,5,-2
189,sergeibaka,14.8,12.4,30.7,1.0,1.3,16.4,20.9,79,21666667,6,7,-1
190,ersanilyasova,13.1,10.9,26.1,0.8,1.4,14.6,22.2,82,6000000,6,3,3
191,kylekorver,10.1,7.7,26.2,0.8,1.0,12.1,15.2,67,7353333,4,3,1
192,anthonymorrow,5.5,5.1,14.6,-0.4,0.1,10.1,16.4,49,2116955,2,1,1
193,milesplumlee,2.5,2.0,10.8,-0.2,0.7,8.4,13.1,45,12500000,2,5,-3
194,terrenceross,11.0,9.6,25.1,0.9,0.9,13.4,19.3,78,10500000,3,4,-1
195,pjtucker,6.7,6.0,27.6,1.6,0.8,10.5,11.2,81,7969537,3,3,0
