"","fix","Pos.y","G","GS.y","MP","FG","FGA","FG..y","eFG..y","FT","FTA","FT..y","ORB","DRB.y","TRB","AST","STL","BLK","TOV","PF","PS.G","PER","TS.","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","average salary"
"1","aarongordon","PF",78,37,23.9,3.5,7.4,0.473,0.509,1.7,2.5,0.668,2,4.5,6.5,1.6,0.8,0.7,0.8,2,9.2,17,0.541,0.333,9,21.3,15.1,10.3,1.6,2.4,9,17.3,3.2,2.2,5.4,0.139,0.6,1.2,1.8,1.8,4504865
"2","adreianpayne","PF",52,2,9.3,1,2.8,0.366,0.397,0.3,0.5,0.654,0.4,1.8,2.1,0.6,0.3,0.2,0.7,1.5,2.5,5.6,0.422,0.179,4.8,21.5,13.3,8.9,1.7,1.8,18.7,17.7,-0.9,0.4,-0.5,-0.047,-5.9,-0.2,-6.1,-0.5,1938800
"3","alexlen","C",78,46,23.3,3.4,8,0.423,0.424,2.2,3.1,0.728,2.3,5.3,7.6,1.2,0.5,0.8,1.9,2.9,9,12.4,0.482,0.383,10.4,25.4,17.7,8.5,1,2.8,16.6,20.4,-0.5,1.8,1.3,0.035,-4.4,0.7,-3.6,-0.7,3943345
"4","allencrabbe","SG",81,8,26,3.8,8.4,0.459,0.541,1.2,1.4,0.867,0.3,2.3,2.7,1.2,0.8,0.2,0.8,2.4,10.3,12.2,0.572,0.167,1.4,9.7,5.6,7.2,1.5,0.6,8.1,16.4,3.1,1.2,4.3,0.098,0.4,-1.1,-0.7,0.7,878092
"5","andredrummond","C",81,81,32.9,6.8,13.1,0.521,0.522,2.6,7.2,0.355,4.9,9.9,14.8,0.8,1.5,1.4,1.9,3,16.2,21.2,0.499,0.553,15.6,34.2,24.5,4.4,2.3,3.2,10.5,24.1,2,5.5,7.4,0.133,-2.1,1.6,-0.5,1,2664793
"6","andreroberson","SG",70,70,22.2,1.9,3.9,0.496,0.555,0.5,0.8,0.611,1.1,2.5,3.6,0.7,0.8,0.6,0.5,1.9,4.8,10.2,0.566,0.197,5.9,11.4,8.8,4,1.7,2,10.5,9.1,1.8,1.6,3.4,0.105,0,1.3,1.4,1.3,1323828
"7","andrewnicholson","PF",56,0,14.7,2.6,5.5,0.471,0.537,0.9,1.2,0.785,0.6,3,3.6,0.4,0.2,0.4,0.7,1.2,6.9,14.8,0.567,0.21,4.5,22.8,13.5,4.8,0.6,2.2,10.8,20.4,0.8,0.8,1.6,0.092,-1.7,-2,-3.7,-0.4,1706648
"8","andrewwiggins","SF",81,81,35.1,7.3,16,0.459,0.481,5.3,7,0.761,1.3,2.3,3.6,2,1,0.6,2.2,2,20.7,16.5,0.543,0.437,4.3,7.5,5.9,10.1,1.4,1.3,10.6,27.2,3.4,0.7,4.1,0.069,0.4,-2.5,-2.1,-0.1,6212561
"9","anthonybrown","SF",29,11,20.7,1.3,4.3,0.31,0.389,0.6,0.7,0.85,0.3,2.1,2.4,0.7,0.5,0.2,0.5,1.2,4,4.9,0.427,0.159,1.6,11.3,6.3,4.8,1.2,0.7,10,11,-0.4,0.1,-0.3,-0.024,-4,-1.1,-5,-0.5,863127
"10","anthonydavis","C",61,61,35.5,9.2,18.6,0.493,0.508,5.3,7,0.758,2.1,8.1,10.3,1.9,1.3,2,2,2.4,24.3,25,0.559,0.379,6.4,26.4,16.1,10,1.8,4.7,8.4,29.6,4.4,2.8,7.2,0.16,1,1.2,2.2,2.3,5799503
"11","archiegoodwin","PG",57,13,19.5,3.1,7.4,0.417,0.444,2.3,3.4,0.674,0.5,2,2.5,2.1,0.5,0.2,1.8,1.5,8.9,11.1,0.498,0.457,2.6,11.5,6.9,17.2,1.2,1,16.5,23.2,-0.4,0.5,0.1,0.004,-2.9,-1.7,-4.6,-0.7,1357732
"12","aronbaynes","C",81,1,15.2,2.4,4.7,0.505,0.505,1.6,2,0.764,1.7,3,4.7,0.6,0.3,0.6,0.8,1.9,6.3,17.8,0.563,0.43,11.9,22.5,17,6.6,0.9,3.2,12.8,18.5,2.4,1.7,4.1,0.158,-1.3,1.1,-0.2,0.6,6500000
"13","austinrivers","SG",67,7,21.9,3.4,7.7,0.438,0.498,1.2,1.7,0.681,0.3,1.6,1.9,1.5,0.7,0.1,0.9,2,8.9,11.1,0.523,0.225,1.7,7.9,4.8,10.6,1.6,0.5,9.7,19.4,0.6,1.3,1.9,0.063,-1.2,-1,-2.2,-0.1,3227451
"14","benmclemore","SG",68,53,21.2,2.9,6.7,0.429,0.502,1.1,1.5,0.718,0.5,1.7,2.2,1.2,0.8,0.1,1.5,2.1,7.8,8.6,0.531,0.226,2.6,8.5,5.6,7.9,1.7,0.6,16.5,17.6,-0.4,0.7,0.3,0.01,-2,-1.2,-3.2,-0.4,3271931
"15","bobanmarjanovic","C",54,4,9.4,1.9,3.2,0.603,0.603,1.6,2.1,0.763,1.4,2.2,3.6,0.4,0.2,0.4,0.5,1,5.5,27.7,0.662,0.655,16.9,26.2,21.7,6.6,1.2,3.5,11.5,22.8,2.3,1.2,3.4,0.325,2.7,0.9,3.6,0.7,1200000
"16","bobbyportis","PF",62,4,17.8,3,7,0.427,0.445,0.8,1.1,0.727,2,3.5,5.4,0.8,0.4,0.4,0.9,1.6,7,13.8,0.469,0.151,12,20,16.1,7.5,1.1,1.5,10.4,20.7,0.3,1.3,1.5,0.066,-2.4,-0.9,-3.3,-0.4,1453720
"17","bojanbogdanovic","SF",79,39,26.8,4.1,9.5,0.433,0.519,1.4,1.7,0.833,0.5,2.8,3.2,1.3,0.4,0.1,1.5,1.5,11.2,10.7,0.55,0.176,1.9,11.8,6.8,7.3,0.7,0.2,12.5,19.4,0.9,0,0.9,0.021,-0.5,-2.9,-3.4,-0.8,3425510
"18","bradleybeal","SG",55,35,31.1,6.5,14.5,0.449,0.515,2.5,3.2,0.767,0.7,2.7,3.4,2.9,1,0.2,2,2.1,17.4,15.5,0.547,0.22,2.6,9.8,6.2,15.6,1.5,0.5,11.3,25.3,1.4,1.3,2.7,0.076,1,-1.6,-0.6,0.6,4663129
"19","brianroberts","PG",51,0,9.2,1.5,3.2,0.448,0.494,0.8,0.9,0.894,0.1,0.7,0.8,1.1,0.2,0,0.5,0.7,4,13.8,0.552,0.285,1.4,8.2,4.8,18.6,1.1,0.3,11,19.8,0.7,0.3,1,0.105,-1.1,-2.8,-3.9,-0.2,1897695
"20","cameronpayne","PG",57,1,12.2,2,4.9,0.41,0.475,0.3,0.4,0.792,0.2,1.3,1.5,1.9,0.6,0.1,0.8,1.4,5,12.9,0.49,0.086,1.5,11.2,6.6,22.5,2.6,0.7,13.2,20.3,0.6,0.8,1.4,0.093,-0.4,-0.9,-1.3,0.1,2112480
"21","cjmccollum","SG",80,80,34.8,8,17.9,0.448,0.517,2.3,2.8,0.827,0.6,2.7,3.2,4.3,1.2,0.3,2.5,2.3,20.8,17.7,0.544,0.158,1.8,8.3,5,21.6,1.7,0.6,11.4,27.1,4.4,1.7,6,0.104,2.5,-2,0.4,1.7,2620615
"22","clintcapela","C",77,35,19.1,3,5.2,0.582,0.582,1,2.7,0.379,2.5,3.9,6.4,0.6,0.8,1.2,0.8,2.5,7,18.3,0.553,0.531,14.4,22.7,18.5,5.1,2,5.2,10.9,16.1,2.4,2,4.4,0.144,-1.2,1.7,0.5,0.9,1515672
"23","codyzeller","C",73,60,24.3,3.2,6,0.529,0.53,2.4,3.2,0.754,1.9,4.3,6.2,1,0.8,0.9,0.9,2.8,8.7,16.1,0.592,0.531,8.4,19.7,14,6.3,1.6,2.9,11.2,15.4,3.6,2.7,6.3,0.169,-1,2,1,1.3,4352528
"24","cristianofelicio","C",31,4,10.4,1.3,2.3,0.556,0.556,0.8,1.1,0.714,1,2.3,3.3,0.8,0.2,0.4,0.4,1,3.4,17.6,0.601,0.486,10,23.1,16.7,12.1,0.9,3,12.9,13.7,0.7,0.4,1.2,0.175,-0.5,1.4,0.9,0.2,699865
"25","damianlillard","PG",75,75,35.7,8.2,19.7,0.419,0.497,5.5,6.2,0.892,0.6,3.4,4,6.8,0.9,0.4,3.2,2.2,25.1,22.2,0.56,0.315,1.8,10.4,6.1,33.6,1.2,0.8,12.6,31.3,7.7,1.4,9.2,0.165,5.9,-2.2,3.7,3.8,3461292
"26","damjanrudez","SF",33,0,8.4,0.8,1.9,0.403,0.54,0.2,0.2,1,0.2,0.5,0.6,0.3,0.1,0,0.4,1,2.3,5.5,0.572,0.129,2.1,6.2,4.2,5.8,0.5,0.3,16.6,12.7,0.1,0,0.1,0.009,-1.2,-3.5,-4.7,-0.2,1124750
"27","dangelorussell","PG",80,48,28.2,4.9,12,0.41,0.478,1.8,2.4,0.737,0.6,2.8,3.4,3.3,1.2,0.2,2.5,1.8,13.2,13.2,0.507,0.199,2.2,11.2,6.5,21.2,2.1,0.5,15.9,24.1,-0.7,0.7,0,0.001,-0.2,-1.7,-1.8,0.1,5332760
"28","delonwright","PG",27,1,8.5,1.3,3,0.45,0.481,1,1.3,0.743,0.3,1.1,1.4,1.1,0.3,0.1,0.6,0.3,3.8,17.8,0.54,0.438,4.1,14.3,9.3,22.5,1.8,1.1,14.4,22.1,0.3,0.2,0.6,0.124,-0.1,-0.6,-0.7,0.1,1577280
"29","devinbooker","SG",76,51,27.7,4.8,11.4,0.423,0.48,2.8,3.4,0.84,0.4,2.1,2.5,2.6,0.6,0.3,2.1,3,13.8,11.9,0.535,0.295,1.4,8.4,4.8,15.8,1,0.8,14,23,1.2,0.7,1.9,0.043,-0.6,-2.4,-3.1,-0.6,2223600
"30","dewaynededmon","C",58,20,12.2,1.7,3.1,0.559,0.559,1,1.3,0.75,1.2,2.8,3.9,0.2,0.4,0.8,0.6,1.9,4.4,17,0.606,0.429,10.4,25.7,17.9,2.7,1.6,5.4,13.2,15.2,1.2,1.1,2.4,0.162,-2.6,1.3,-1.3,0.1,687919
"31","dionwaiters","SG",78,15,27.6,3.6,9.1,0.399,0.46,1.4,2,0.713,0.5,2.1,2.6,2,1,0.2,1.5,1.8,9.8,9.4,0.492,0.222,1.9,8,5.1,10,1.9,0.5,13.4,17.7,0.3,1.8,2.1,0.046,-1.5,-0.6,-2.1,-0.1,4205318
"32","donatasmotiejunas","PF",37,22,14.8,2.4,5.5,0.439,0.478,0.9,1.4,0.642,1,1.9,2.9,1.1,0.5,0.1,1.2,1.9,6.2,11.3,0.504,0.259,7.4,14.6,11,12.2,1.5,0.8,16.2,21.4,0,0.3,0.3,0.026,-2.5,-1.9,-4.3,-0.3,1639061
"33","dougmcdermott","SF",81,4,23,3.6,8,0.452,0.537,0.9,1,0.857,0.5,2,2.4,0.7,0.2,0.1,0.7,1.6,9.4,10.9,0.561,0.13,2.1,8.8,5.5,5,0.4,0.2,7.2,17.3,2.1,0.7,2.8,0.073,-0.3,-2.8,-3.1,-0.5,2609109
"34","draymondgreen","PF",81,81,34.7,5,10.1,0.49,0.551,2.8,4.1,0.696,1.7,7.8,9.5,7.4,1.5,1.4,3.2,3,14,19.3,0.587,0.402,5.5,23,14.7,29,2,3,21.2,18.8,6,5.1,11.1,0.19,2,3.9,5.8,5.5,16400000
"35","dwightpowell","PF",69,2,14.4,2.1,4.3,0.493,0.497,1.5,2.1,0.739,1.2,2.7,4,0.6,0.5,0.3,0.6,1.7,5.8,16.8,0.557,0.48,9.3,20.9,15.1,7.2,1.8,2,10,18.4,1.8,1.3,3.1,0.151,-1.3,1,-0.3,0.4,676198
"36","elfridpayton","PG",73,69,29.4,4.4,10,0.436,0.456,1.5,2.6,0.589,1.1,2.5,3.6,6.4,1.2,0.3,2.4,2.2,10.7,13.9,0.478,0.26,3.9,9.6,6.7,32.8,2.1,0.8,17.9,20.4,0.5,1.7,2.2,0.05,-0.9,-0.5,-1.3,0.4,2712375
"37","emmanuelmudiay","PG",68,66,30.4,4.8,13.3,0.364,0.404,2.1,3.1,0.67,0.5,2.9,3.4,5.5,1,0.5,3.2,2.1,12.8,9.9,0.437,0.231,1.7,10.9,6.2,29,1.6,1.4,17.9,25.7,-3.3,1.2,-2.1,-0.049,-3.1,-1.2,-4.3,-1.2,3241840
"38","evanfournier","SF",79,71,32.5,5.4,11.8,0.462,0.546,2.5,3,0.836,0.4,2.4,2.8,2.7,1.2,0,1.7,2.7,15.4,14.6,0.587,0.256,1.4,8.4,4.9,12.8,1.9,0.1,11.4,20.1,4,1.7,5.7,0.106,2.1,-1.5,0.7,1.7,1639061
"39","festusezeli","C",46,13,16.7,2.7,5,0.548,0.548,1.5,2.9,0.53,2,3.6,5.6,0.7,0.4,1.1,0.8,2,7,17.7,0.559,0.579,13.5,21.9,18,5.8,1.1,4.8,11.7,18.2,1.4,1.3,2.7,0.171,-1.5,1.4,-0.1,0.4,1302377
"40","frankkaminsky","C",81,3,21.1,2.7,6.5,0.41,0.474,1.3,1.8,0.73,0.9,3.3,4.1,1.2,0.5,0.5,0.7,1.6,7.5,12.5,0.513,0.282,4.4,17.2,10.7,9,1.1,2,8.9,17.1,1.2,2.1,3.3,0.093,-1.6,0.4,-1.2,0.3,2730040
"41","garyharris","SG",76,76,32.1,4.7,10.1,0.469,0.538,1.4,1.8,0.82,0.7,2.2,2.9,1.9,1.3,0.2,1.3,1.9,12.3,12.7,0.566,0.174,2.4,7.7,5,9.5,2,0.6,10.6,16.5,2.8,1.2,4,0.079,0.9,-0.7,0.2,1.3,1828154
"42","giannisantetokounmpo","PG",80,79,35.3,6.4,12.7,0.506,0.52,3.7,5.1,0.724,1.4,6.2,7.7,4.3,1.2,1.4,2.6,3.2,16.9,18.8,0.566,0.404,4.6,20,12.4,20,1.7,3.4,14.8,22.3,4.2,2.9,7.1,0.121,1,1.5,2.4,3.2,2871714
"43","gorguidieng","C",82,39,27.1,3.8,7.1,0.532,0.537,2.5,3,0.827,1.9,5.2,7.1,1.7,1.1,1.2,1.7,2.7,10.1,17.1,0.601,0.428,8.3,22.1,15.3,10.1,2.1,3.5,16.9,16.7,3.4,2.5,5.9,0.127,0,2.4,2.4,2.5,1647336
"44","harrisonbarnes","SF",66,59,30.9,4.5,9.6,0.466,0.531,1.5,2,0.761,1.2,3.8,4.9,1.8,0.6,0.2,0.9,2.1,11.7,12.3,0.559,0.212,4.3,12.4,8.6,7.8,1,0.4,7.6,15.9,3.1,1.9,4.9,0.116,0.4,-0.6,-0.2,0.9,2192970
"45","hollisthompson","SG",77,17,28,3.5,8.8,0.397,0.507,0.9,1.2,0.719,0.7,2.8,3.5,1.3,0.5,0.3,1,2.4,9.8,9.2,0.525,0.141,2.6,11.4,6.9,7.4,0.8,0.8,9.5,16.2,0.7,0.5,1.2,0.026,-1.1,-2,-3.1,-0.6,817409
"46","ianclark","SG",66,1,8.8,1.3,3.1,0.441,0.515,0.4,0.5,0.824,0.2,0.8,1,1,0.3,0.2,0.7,0.9,3.6,11.5,0.544,0.168,2.6,9.7,6.3,15.3,1.4,1.7,16.5,19.5,0.3,0.6,0.9,0.075,-1.8,-1.3,-3,-0.2,947276
"47","isaiahcanaan","SG",77,39,25.5,3.4,9.4,0.36,0.482,1.9,2.3,0.833,0.3,2,2.3,1.8,0.7,0.2,1.2,1.7,11,11.1,0.528,0.249,1.1,8.8,4.8,11.3,1.4,0.5,10.2,19.9,0.9,0.5,1.4,0.035,0.2,-2.9,-2.7,-0.4,778091
"48","jabariparker","PF",76,72,31.7,5.8,11.8,0.493,0.498,2.3,3,0.768,1.6,3.6,5.2,1.7,0.9,0.4,1.5,2,14.1,14.8,0.535,0.254,5.9,12.8,9.4,8.9,1.5,1,10.4,20.9,2.4,1.2,3.6,0.072,-0.9,-1.5,-2.4,-0.2,7413237
"49","jaecrowder","SF",73,73,31.6,4.9,11.1,0.443,0.518,2.7,3.3,0.82,1,4.2,5.1,1.8,1.7,0.5,1.1,2.7,14.2,15.8,0.565,0.294,3.2,14.2,8.6,8.9,2.7,1.2,8.3,18.5,3.8,3.5,7.3,0.152,1.5,1.3,2.8,2.8,7000000
"50","jahlilokafor","C",53,48,30,7.5,14.7,0.508,0.509,2.5,3.7,0.686,2.3,4.7,7,1.2,0.4,1.2,2.3,2.6,17.5,17.1,0.536,0.248,8.1,17.8,12.8,8.2,0.7,2.9,12.5,27.3,0.3,0.9,1.2,0.037,-2.6,-1.5,-4.1,-0.8,4788880
"51","jakarrsampson","SF",73,40,15.9,1.9,4.3,0.442,0.464,1.1,1.7,0.656,0.6,2,2.6,0.6,0.3,0.5,1,1.9,5.1,8.3,0.504,0.385,4.2,14,9,6.2,1,2.2,15.9,16.6,-0.5,0.6,0.1,0.006,-4.6,-0.8,-5.4,-1,619460
"52","jamesyoung","SG",29,0,6.9,0.4,1.2,0.306,0.389,0,0.1,0.25,0.1,0.8,0.9,0.3,0.2,0,0.2,0.6,1,3.6,0.384,0.111,2.1,11.9,6.9,6,1.5,0.4,11.7,9.1,-0.2,0.2,0.1,0.013,-4.7,0.1,-4.6,-0.1,1749840
"53","jamychalgreen","PF",78,15,18.5,2.9,6.3,0.465,0.48,1.3,1.8,0.752,1.8,3,4.8,0.9,0.6,0.4,1.1,2.4,7.4,14.6,0.52,0.277,10.5,19.3,14.7,7.7,1.6,2.1,13,19.8,1.2,1.4,2.6,0.086,-1.6,-0.3,-1.9,0,653262
"54","jaredcunningham","SG",44,3,9.3,0.8,2.4,0.343,0.4,0.8,1.3,0.655,0.1,0.8,0.9,0.5,0.3,0,0.5,0.9,2.7,5.9,0.464,0.524,0.8,9.6,5.3,6.9,1.8,0.4,14,16.5,-0.3,0.4,0.1,0.014,-4.6,-1.3,-5.9,-0.4,5773
"55","jaredsullinger","PF",81,73,23.6,4.3,10,0.435,0.453,1.3,2,0.64,2.4,5.9,8.3,2.3,0.9,0.6,1.3,2.6,10.3,16.7,0.476,0.2,10.6,27,18.7,15.5,1.9,1.9,10.4,21.8,1.3,3.6,4.8,0.121,-1.2,2.3,1.1,1.5,1591605
"56","jarelleddie","SF",26,0,5.7,0.8,2.5,0.308,0.423,0.3,0.3,1,0.1,0.8,0.9,0.2,0.2,0,0,0.2,2.4,11,0.46,0.123,1.5,16.3,8.8,5,1.7,0.6,1.4,20.7,0,0.1,0.1,0.046,-1.5,-3.2,-4.7,-0.1,771074
"57","jarellmartin","PF",27,0,14.1,2,4.3,0.466,0.466,1.7,2.3,0.726,1.4,1.7,3.2,0.6,0.3,0.3,0.7,2.1,5.7,14,0.534,0.534,11.2,14.7,12.9,6.4,1.1,1.7,11.7,19.2,0.5,0.2,0.8,0.1,-1.6,-1.6,-3.2,-0.1,1286200
"58","jeffwithey","C",51,10,12.9,1.7,3.2,0.537,0.537,0.8,1.2,0.729,1.1,2.3,3.4,0.4,0.4,1,0.5,1.5,4.3,17.7,0.577,0.364,10,20.7,15.4,5,1.7,6.8,13,15.1,1.1,1.3,2.3,0.171,-2,3.7,1.7,0.6,981486
"59","jeramigrant","SF",77,52,26.8,3.3,7.8,0.419,0.448,2.8,4.2,0.658,1.3,3.4,4.7,1.8,0.7,1.6,1.4,2.8,9.7,12.6,0.506,0.538,5,14.3,9.5,10.4,1.3,4.7,12.9,18,0.5,1.6,2.1,0.05,-2.6,1.3,-1.3,0.4,903456
"60","jeremylamb","SG",66,0,18.6,3.5,7.7,0.451,0.506,1,1.3,0.727,0.7,3.2,3.8,1.2,0.6,0.5,0.8,1.6,8.8,15.9,0.529,0.173,3.9,18.7,11.2,10.9,1.7,2,8.4,22,1,1.8,2.7,0.107,-0.6,0.1,-0.5,0.4,2341929
"61","jeriangrant","PG",76,6,16.6,2,5.1,0.394,0.422,1.3,1.6,0.78,0.3,1.6,1.9,2.3,0.7,0.1,1.1,1.3,5.6,11.2,0.479,0.315,2,10.2,6.2,21.8,2,0.6,16.3,19,-0.2,1,0.8,0.03,-2.3,-1.1,-3.4,-0.5,1643080
"62","joeingles","SF",81,2,15.3,1.5,3.6,0.426,0.565,0.2,0.2,0.722,0.2,1.6,1.9,1.2,0.7,0,0.8,1.2,4.2,10.3,0.572,0.062,1.8,12.4,7.1,12.1,2.3,0.3,17.9,13.5,0.7,1.6,2.3,0.089,-0.3,0.4,0.1,0.7,2150000
"63","joffreylauvergne","C",59,15,17.6,3.3,6.4,0.513,0.53,1.1,1.2,0.899,1.3,3.6,4.9,0.9,0.2,0.3,0.9,1.9,7.9,15.7,0.567,0.182,8.1,23.1,15.4,9.1,0.6,1.2,11.6,19.5,1.6,0.7,2.3,0.105,-0.9,-1.4,-2.3,-0.1,1736573
"64","johnhenson","C",57,1,16.8,2.9,5.1,0.564,0.564,1.2,2.1,0.59,1.5,2.4,3.9,0.9,0.3,1.9,1.1,2.3,7,18.6,0.58,0.402,10.4,15.8,13.2,9,1,9.7,15.7,19.1,1.2,1.1,2.3,0.117,-1.5,3.1,1.6,0.9,3183295
"65","johnjenkins","SG",43,3,11.2,1.7,3.7,0.444,0.494,0.5,0.6,0.833,0.2,1.1,1.3,0.8,0.2,0,0.6,0.5,4.1,10,0.522,0.15,1.8,11.3,6.5,11.7,0.8,0.2,13.7,18.1,0,0.2,0.2,0.022,-3,-2.4,-5.4,-0.4,686944
"66","johnnyobryant","PF",66,4,13,1.3,3.2,0.411,0.414,0.4,0.6,0.675,1,1.7,2.7,0.5,0.3,0.1,0.5,1.5,3,7.4,0.441,0.191,8.7,14.7,11.7,5.4,1.1,0.8,12,13.5,-0.2,0.4,0.3,0.014,-4.3,-1.7,-6,-0.9,808497
"67","jonasvalanciunas","C",60,59,26,5.1,8.9,0.565,0.565,2.7,3.6,0.761,3.1,6.1,9.1,0.7,0.4,1.3,1.4,2.6,12.8,22.6,0.61,0.397,13.8,26.3,20.1,4.8,0.8,4.2,11.9,20.9,4.5,2.4,6.9,0.211,0.7,0.4,1.1,1.2,3809981
"68","jonathonsimmons","SG",55,2,14.8,2.2,4.4,0.504,0.541,1.3,1.7,0.75,0.3,1.5,1.7,1.1,0.4,0.1,1,1.9,6,11.9,0.586,0.38,2.3,10.8,6.7,10.4,1.5,0.5,15.8,18.9,0.7,1.3,2,0.119,-1.1,0.2,-1,0.2,699865
"69","jordanclarkson","SG",79,79,32.3,6,13.9,0.433,0.483,2.1,2.6,0.804,1.2,2.8,4,2.4,1.1,0.1,1.7,2.1,15.5,14.3,0.516,0.186,3.8,9.6,6.6,13.8,1.7,0.2,10.2,22.8,1.7,0.4,2.1,0.039,0.6,-2,-1.4,0.4,676198
"70","joshrichardson","SG",52,2,21.3,2.4,5.2,0.452,0.55,0.8,1.2,0.667,0.4,1.7,2.1,1.4,0.7,0.5,0.7,2.1,6.6,11.4,0.569,0.232,2.2,8.5,5.5,9.7,1.7,1.7,10.5,13.8,1.3,1.2,2.5,0.109,0.2,0.4,0.6,0.7,804825
"71","juliusrandle","PF",81,60,28.2,4.4,10.3,0.429,0.435,2.4,3.3,0.715,2.1,8.1,10.2,1.8,0.7,0.4,1.8,3,11.3,13.9,0.482,0.323,7.8,32,19.5,11,1.2,1,13.5,21.2,-0.3,1.9,1.6,0.035,-3.7,0,-3.6,-0.9,3386491
"72","justinanderson","SF",55,9,11.8,1.3,3.2,0.406,0.469,0.8,1,0.8,0.3,2.1,2.4,0.5,0.3,0.5,0.4,0.8,3.8,12.3,0.522,0.314,3.1,19.3,11.2,6.8,1.5,3.2,10.8,15.8,0.3,0.8,1.1,0.083,-2.5,1.3,-1.2,0.1,1514200
"73","justinholiday","SG",53,5,14.6,1.7,4.3,0.386,0.465,0.5,0.7,0.73,0.2,1.5,1.7,1.1,0.6,0.4,0.7,1.2,4.5,9.4,0.489,0.162,1.7,10.5,6.2,10.7,2.1,1.8,13.8,16.2,-0.3,0.9,0.6,0.04,-2.7,0.3,-2.5,-0.1,306472
"74","justisewinslow","SF",78,8,28.6,2.5,5.9,0.422,0.457,1,1.5,0.684,1,4.1,5.2,1.5,0.9,0.3,1.2,2.4,6.4,8.4,0.489,0.253,4.2,15.8,10.2,7.4,1.6,0.9,15.6,12.5,-0.2,2.7,2.5,0.054,-2.2,1.6,-0.6,0.8,2807282
"75","jusufnurkic","C",32,3,17.1,3.2,7.6,0.417,0.417,1.9,3.1,0.616,2,3.4,5.5,1.3,0.8,1.4,1.7,2.8,8.2,16,0.46,0.409,12.9,22.7,17.7,12.3,2.2,6.5,16.1,27.2,-0.5,0.9,0.4,0.031,-4.1,2.8,-1.3,0.1,2118326
"76","karlanthonytowns","C",82,82,32,7.6,14.1,0.542,0.555,2.7,3.4,0.811,2.8,7.7,10.5,2,0.7,1.7,2.2,3,18.3,22.5,0.59,0.239,10.3,27.5,19,11.3,1.1,4.3,12.6,24.9,5.5,2.8,8.3,0.151,1.6,1.2,2.8,3.1,5960200
"77","kellyolynyk","C",69,8,20.2,3.7,8.1,0.455,0.531,1.4,1.9,0.75,1,3,4.1,1.5,0.8,0.5,1.1,2.4,10,16.3,0.561,0.23,5.4,16.2,10.7,11.9,1.8,1.8,10.8,20.9,2.1,2,4.1,0.141,0.8,0.4,1.2,1.1,2330324
"78","kellyoubre","SF",63,9,10.7,1.4,3.3,0.427,0.486,0.5,0.8,0.633,0.4,1.7,2.1,0.2,0.3,0.1,0.5,1.6,3.7,8.2,0.507,0.232,4.1,18.4,11.1,2.8,1.6,0.8,12.8,17.4,-0.3,0.7,0.4,0.031,-4.3,-1.6,-5.8,-0.7,2006640
"79","kendallmarshall","PG",30,6,13.3,1.4,3.9,0.364,0.432,0.3,0.4,0.692,0.1,0.9,0.9,2.4,0.5,0.1,1.4,1,3.7,6.7,0.449,0.11,0.5,7.3,3.8,28.4,2,0.4,25.8,18.3,-0.7,0.1,-0.5,-0.064,-5.5,-3.3,-8.8,-0.7,2000000
